,Exercise,Calories Burn,Actual Weight,Age,Duration,Heart Rate,BMI,Exercise Intensity,Gender_Male,Weather Conditions_Rainy,Weather Conditions_Sunny
22,Exercise 1,187.2145211,69.65255976,54,26,117,30.59981568,3,0,1,0
23,Exercise 7,129.0192376,54.69985051,30,26,145,33.35999724,9,1,0,1
24,Exercise 1,293.464795,59.86013459,45,36,135,18.74376699,7,0,0,1
25,Exercise 10,344.1352887,72.0983609,24,57,159,31.57504828,2,1,0,0
26,Exercise 9,297.6813903,81.68863135,56,39,133,20.0330802,1,1,0,1
27,Exercise 10,126.4961165,98.57062426,54,33,118,18.94809579,6,1,0,0
28,Exercise 8,279.7251573,78.70795184,21,21,164,21.339318,10,1,1,0
29,Exercise 6,214.2193561,49.31561328,55,48,155,29.23556137,1,0,0,1
30,Exercise 4,115.3368677,86.24767046,47,26,154,22.17566114,7,1,0,1
31,Exercise 5,444.6904555,86.45526301,24,37,168,24.37234879,2,1,0,0
32,Exercise 1,261.0427782,90.68068215,57,47,111,30.42326681,8,0,1,0
33,Exercise 1,343.2067297,77.83226162,30,31,170,24.94641272,4,0,0,1
34,Exercise 8,483.4970362,78.03340967,52,49,121,26.27883251,9,0,0,1
35,Exercise 8,364.4688538,95.66982226,20,43,103,24.83308985,7,1,0,1
36,Exercise 9,353.2051257,54.53063568,37,51,155,34.36954017,10,1,1,0
37,Exercise 7,182.3335938,96.08917838,47,25,106,28.17738168,5,0,0,1
38,Exercise 8,316.0366931,79.82720402,28,31,157,21.77174362,1,0,0,1
39,Exercise 3,280.5911131,99.0966335,57,27,150,32.25019059,4,0,0,0
40,Exercise 3,240.9247871,100.8967673,41,53,162,27.39231586,5,0,0,0
41,Exercise 4,455.6056505,85.40862776,19,60,153,22.21856755,1,1,0,0
42,Exercise 1,119.4725546,51.17641475,32,37,168,19.43018046,9,0,1,0
43,Exercise 9,121.0886855,58.06911618,55,36,159,31.76605422,7,1,0,0
44,Exercise 9,207.9759501,70.58058256,39,59,177,30.65263465,2,0,0,1
45,Exercise 2,355.6478253,76.65819193,32,28,126,23.04409145,2,0,1,0
46,Exercise 10,176.4886037,75.47957349,58,36,151,26.22608119,7,1,1,0
47,Exercise 7,453.4353571,66.54716531,40,52,158,20.05025199,6,1,0,0
48,Exercise 6,120.0669036,82.55090155,48,34,174,25.8040189,2,0,0,1
49,Exercise 3,379.3709879,88.76687023,36,54,137,29.99401277,2,1,0,0
50,Exercise 2,244.9790358,77.79195722,35,21,129,20.10679707,7,1,1,0
51,Exercise 10,447.7851241,56.59718028,28,39,124,24.51337316,3,1,1,0
52,Exercise 9,117.819875,70.505351,37,32,146,19.00649414,3,1,1,0
53,Exercise 1,217.7570965,81.53358944,25,50,136,33.61687435,7,0,0,0
54,Exercise 6,371.1216261,81.76218279,51,52,146,34.29477546,3,1,0,1
55,Exercise 9,441.770923,72.56739655,28,20,108,21.1134036,1,0,1,0
56,Exercise 5,277.7292176,90.70424116,27,53,103,29.92696454,5,0,0,1
57,Exercise 9,168.6552217,92.2778923,52,38,136,20.23433582,8,1,0,0
58,Exercise 8,126.6017619,75.98180486,49,26,112,22.83994622,1,0,0,1
59,Exercise 2,283.2182582,62.78632646,48,21,101,34.1017927,8,1,0,0
60,Exercise 9,301.4196335,61.49848031,40,48,119,18.55321683,6,1,1,0
61,Exercise 7,318.4410057,79.84324315,47,21,164,19.24402432,4,0,0,0
62,Exercise 6,141.0364555,83.15299584,40,25,156,28.19329989,10,0,0,0
63,Exercise 1,170.5211824,67.53030977,26,39,174,34.31000845,2,1,0,0
64,Exercise 8,151.3656289,83.80386672,60,35,121,26.38069687,7,0,0,0
65,Exercise 9,365.6369757,78.45646952,20,30,151,31.07880384,4,1,0,0
66,Exercise 3,127.9066818,78.62363525,52,52,172,21.65583392,2,1,0,0
67,Exercise 1,111.4136934,74.92635505,50,23,147,21.91606524,4,1,1,0
68,Exercise 6,455.756085,81.75920467,36,40,118,22.45509707,1,1,0,0
69,Exercise 4,324.9529154,62.46149413,40,41,171,23.8444923,10,0,0,1
70,Exercise 9,224.7566667,53.78396297,51,26,139,28.62831618,7,1,1,0
71,Exercise 4,251.9707701,76.38530131,19,34,107,25.38978365,2,0,0,1
72,Exercise 9,346.4365542,95.95126884,32,49,127,27.447053,8,0,0,1
73,Exercise 3,233.3392462,52.15090762,58,30,153,24.9464804,6,1,0,0
74,Exercise 6,222.7406397,100.4104576,25,53,166,19.62559444,4,1,0,1
75,Exercise 8,254.9823965,77.33768093,60,27,128,29.80454185,2,1,0,1
76,Exercise 10,387.9547256,81.78720798,42,34,118,27.81412391,4,0,1,0
77,Exercise 1,129.4225026,95.12661104,59,51,176,32.99199182,9,0,0,1
78,Exercise 10,211.9936538,96.4680018,52,36,125,32.3516948,3,0,0,0
79,Exercise 6,187.1540026,96.17884077,43,28,146,19.14769677,2,0,1,0
80,Exercise 4,362.8855991,61.23949091,52,44,145,32.27281532,9,1,1,0
81,Exercise 1,145.4125641,72.72992098,27,42,110,26.67828159,10,1,1,0
82,Exercise 1,305.3738804,102.2311965,56,46,103,22.06029777,2,0,1,0
83,Exercise 4,472.5085347,62.93349247,33,45,143,31.64764776,10,0,0,0
84,Exercise 1,364.7305563,64.29150459,57,24,176,18.85074319,1,1,0,0
85,Exercise 3,218.439501,88.75571394,25,55,156,21.63796084,2,0,1,0
86,Exercise 7,120.509324,61.68558378,55,46,110,34.0370336,7,1,0,0
87,Exercise 4,194.3341766,57.37963507,18,42,121,28.68479934,4,0,0,1
88,Exercise 9,169.705561,55.08886643,40,51,152,20.96051879,6,1,0,1
89,Exercise 6,178.0728415,82.52777519,43,52,108,27.19984173,7,0,1,0
90,Exercise 9,299.8187299,65.07531403,28,32,137,24.3270678,8,1,0,1
91,Exercise 10,443.5856836,50.02107892,57,40,139,33.30809063,5,1,1,0
92,Exercise 4,271.0956442,83.79618992,36,22,180,24.6627078,3,0,0,0
93,Exercise 6,413.8854243,68.8660001,35,36,109,22.10955455,5,1,0,1
94,Exercise 9,176.433223,59.19067336,35,27,166,23.4711098,8,1,0,0
95,Exercise 10,147.1726527,71.09468662,40,56,115,28.76920033,6,0,1,0
96,Exercise 3,408.4146909,87.5055916,34,23,154,21.47705405,7,0,0,1
97,Exercise 9,168.0208161,98.55154754,57,52,107,30.60448801,5,0,0,0
98,Exercise 2,267.576432,86.43440433,41,46,163,32.0156202,7,1,0,0
99,Exercise 3,366.0372045,75.32676972,37,38,115,34.25747047,10,1,0,0
100,Exercise 5,309.7996685,78.86926562,42,57,128,30.16709554,1,1,0,1
101,Exercise 3,377.2902571,50.5837702,27,50,166,21.55475318,8,1,0,1
102,Exercise 6,306.2712633,56.99475918,53,20,152,25.57786558,3,0,1,0
103,Exercise 9,234.0254065,67.57261021,56,30,106,33.17709401,1,0,1,0
104,Exercise 4,329.4466802,60.79754678,38,46,108,24.52088084,9,1,0,0
105,Exercise 6,442.5630513,55.71856453,22,51,176,32.70903152,7,1,0,1
106,Exercise 3,399.4897422,80.84973657,28,28,151,27.61331775,7,1,1,0
107,Exercise 10,483.969752,95.80545927,54,51,127,21.38166209,4,1,0,0
108,Exercise 5,420.1160418,79.63577637,42,58,125,27.29355873,5,0,0,1
109,Exercise 4,209.8023499,59.09725982,18,39,123,34.1207098,8,1,0,0
110,Exercise 4,124.8124867,57.63665394,57,60,109,23.15990606,8,0,0,0
111,Exercise 7,118.3385206,82.51560728,47,38,141,31.35652295,6,0,0,1
112,Exercise 8,408.4920534,94.38356843,58,22,145,32.09962909,5,0,1,0
113,Exercise 7,118.1771261,102.9782737,43,22,151,28.66587115,5,1,0,0
114,Exercise 1,422.7135013,63.44628513,58,22,108,20.15866046,2,0,0,0
115,Exercise 7,240.0177788,56.20362011,23,42,135,20.06185171,7,1,0,0
116,Exercise 9,419.3066769,88.79659313,49,41,101,26.4000158,5,0,1,0
117,Exercise 10,483.7782894,57.06837366,39,26,163,21.42123002,4,0,0,0
118,Exercise 7,266.54832,92.75547183,34,52,144,22.27836045,1,1,0,0
119,Exercise 2,104.8550273,67.04093332,19,39,122,20.33647415,2,1,0,0
120,Exercise 2,302.9548246,83.11037908,32,37,103,27.45571038,4,0,0,1
121,Exercise 5,283.4472034,89.99851689,43,54,118,24.89526987,7,0,1,0
122,Exercise 10,239.5529794,91.07660295,57,33,173,31.4402438,7,0,1,0
123,Exercise 5,410.136624,55.98469128,44,29,105,28.29870262,2,0,0,1
124,Exercise 1,472.2571261,70.13620933,34,50,146,22.92826784,10,0,1,0
125,Exercise 9,440.3696002,53.042103,40,44,169,28.11696786,4,0,0,0
126,Exercise 6,475.4189059,50.86320199,57,36,161,22.21944956,2,0,0,1
127,Exercise 10,142.9766065,93.00075247,59,25,116,22.31779856,9,0,1,0
128,Exercise 3,115.8819824,99.24127998,18,50,144,31.96373669,4,0,0,1
129,Exercise 5,443.3890037,84.33421187,39,41,177,24.11116561,9,1,1,0
130,Exercise 5,187.0619427,61.73193421,58,27,130,29.31747581,7,0,0,1
131,Exercise 6,310.3643974,85.16440129,43,23,124,29.69361279,3,0,0,1
132,Exercise 7,129.611367,55.16087683,30,28,117,30.5449893,2,1,0,0
133,Exercise 6,383.2635156,61.24653066,25,28,104,21.62008808,10,0,0,0
134,Exercise 4,144.7993694,78.5115556,52,53,177,21.25129781,1,0,1,0
135,Exercise 5,102.0959253,92.41374766,55,50,106,33.35338189,6,0,0,1
136,Exercise 10,344.712567,58.7253541,43,59,108,19.09399718,1,1,0,1
137,Exercise 4,237.6189713,86.58468232,29,23,137,24.93561004,1,1,0,1
138,Exercise 10,192.364994,100.4090798,40,31,170,20.03404579,2,1,1,0
139,Exercise 9,471.6148446,75.91369081,29,58,160,21.51597702,5,1,0,0
140,Exercise 5,280.455236,74.96073161,36,58,131,33.71839827,7,0,1,0
141,Exercise 1,474.2340328,65.80857826,26,59,107,24.40223101,10,0,0,1
142,Exercise 8,184.4730934,68.3741302,46,45,141,28.94278738,4,0,0,0
143,Exercise 5,137.7745595,53.69455335,22,42,109,26.34117322,7,1,0,1
144,Exercise 3,414.4423123,97.80677203,44,31,121,27.51271829,3,0,0,0
145,Exercise 4,439.2877189,98.57887801,44,40,106,28.42239194,8,1,1,0
146,Exercise 1,152.3731861,74.43379193,28,28,100,28.59196993,3,1,0,0
147,Exercise 5,313.1435338,84.64565117,52,48,126,27.55570647,5,1,0,0
148,Exercise 9,376.4953334,82.52383881,26,32,109,19.39886868,5,0,1,0
149,Exercise 9,448.9890478,94.61001335,35,30,141,22.85568356,6,1,0,1
150,Exercise 9,293.0344535,53.24650478,56,20,176,29.78677836,1,1,0,0
151,Exercise 3,233.122857,90.220902,38,22,105,21.34916053,8,0,0,0
152,Exercise 9,151.5991295,57.12792775,23,43,167,31.33151701,5,0,0,1
153,Exercise 1,246.0202278,62.26845357,27,23,104,22.51498621,7,0,0,0
154,Exercise 4,295.1513244,96.4338872,50,36,178,24.54884642,1,0,0,0
155,Exercise 9,119.6067548,70.97223588,23,25,170,18.94521484,5,1,0,0
156,Exercise 5,418.2618341,69.18487084,54,23,177,23.62638167,2,1,0,0
157,Exercise 9,419.7180341,75.59689133,38,51,151,26.50197594,6,0,0,1
158,Exercise 7,237.1214052,74.84338458,45,26,154,24.49874184,9,1,0,0
159,Exercise 4,488.9969371,83.66405641,19,55,175,19.49576172,3,0,0,0
160,Exercise 3,485.0860445,69.31447707,60,37,133,30.15399805,3,1,0,1
161,Exercise 9,185.5255732,81.14219998,60,56,111,25.12063694,7,1,0,0
162,Exercise 8,165.9993912,72.99273153,56,51,162,22.66285542,2,1,1,0
163,Exercise 7,312.9282633,88.61938842,53,55,176,26.06325689,3,1,1,0
164,Exercise 6,310.7992823,96.36457188,52,35,168,20.68000992,2,0,1,0
165,Exercise 2,194.9421322,75.08330305,24,26,102,32.39776582,4,0,1,0
166,Exercise 2,491.9044704,88.22157221,42,29,153,23.19780894,7,1,0,1
167,Exercise 10,334.6332176,54.81757182,19,30,136,26.48644482,10,1,1,0
168,Exercise 7,458.8810485,51.86215132,26,33,133,33.52926921,5,1,0,1
169,Exercise 2,221.3818281,75.38185875,49,56,175,23.94210442,8,0,0,0
170,Exercise 7,325.8452919,93.34441029,51,27,129,22.29424576,9,0,0,0
171,Exercise 5,271.7984607,91.8210386,18,55,159,19.57181441,3,1,0,0
172,Exercise 5,218.1117723,87.46190442,35,54,131,32.33269169,6,0,0,1
173,Exercise 5,372.581496,94.37463386,54,31,158,33.27434395,1,1,0,1
174,Exercise 6,479.8325592,95.911693,49,54,107,27.17379536,2,0,0,0
175,Exercise 9,394.1783809,48.40048431,56,31,123,22.68855345,10,1,0,1
176,Exercise 2,444.2549306,95.56601888,24,21,152,30.9707873,3,0,0,1
177,Exercise 7,317.3206578,47.45277461,37,36,166,22.99728844,1,0,0,0
178,Exercise 4,294.440263,96.36381065,20,33,172,32.29393205,10,0,1,0
179,Exercise 9,336.160237,78.27247592,51,40,145,25.56755187,5,0,1,0
180,Exercise 8,179.1368748,94.01242775,21,24,126,33.44114105,6,1,0,1
181,Exercise 8,241.2112347,55.78219929,31,35,166,20.54830706,5,0,1,0
182,Exercise 10,468.6631805,64.57042377,38,30,114,28.01156596,8,0,1,0
183,Exercise 3,370.6934327,78.20786746,25,31,144,31.51282138,9,0,1,0
184,Exercise 5,235.4808427,63.56491265,18,29,130,19.24520096,3,1,0,0
185,Exercise 7,497.6911217,69.05311312,27,34,155,25.57548596,7,0,0,1
186,Exercise 7,461.5139356,67.17188522,52,45,102,33.81707437,10,0,1,0
187,Exercise 2,358.1260719,101.0450295,49,27,165,31.14741497,9,1,0,1
188,Exercise 2,420.185107,79.41729076,48,35,119,34.16084238,2,1,1,0
189,Exercise 10,247.3177278,66.77762847,58,43,136,27.66865811,4,0,0,1
190,Exercise 1,304.6376978,62.54535184,60,37,171,22.59039568,10,1,0,0
191,Exercise 5,485.9618233,73.95241722,42,25,113,20.31656797,4,1,1,0
192,Exercise 3,452.3517684,93.46029553,28,23,141,28.69268691,4,0,1,0
193,Exercise 5,430.4024765,60.11646252,48,47,123,25.2372257,7,1,0,1
194,Exercise 1,283.3606445,77.88313682,51,41,171,20.45067266,4,0,0,1
195,Exercise 2,212.742105,83.47986826,53,34,117,33.34423973,5,0,1,0
196,Exercise 7,497.8515018,65.71073511,25,47,110,34.38153041,2,0,0,1
197,Exercise 1,390.1075923,67.73405712,31,45,160,26.13938514,4,1,0,1
198,Exercise 1,214.5143714,68.24753501,34,21,159,26.5913335,10,1,0,0
199,Exercise 7,188.6152102,100.3214275,43,55,173,28.1726826,9,1,1,0
200,Exercise 5,122.6847362,73.90294643,22,58,116,20.81564035,7,1,0,0
201,Exercise 8,259.0072069,102.5759785,40,52,107,30.199875,10,1,0,1
202,Exercise 9,258.7209122,65.9868247,24,32,136,32.38559416,1,1,0,1
203,Exercise 4,154.7629008,86.9147589,59,21,179,30.79285681,8,0,0,0
204,Exercise 2,282.6603086,94.72751555,53,42,120,19.17657562,4,0,0,1
205,Exercise 10,262.1380834,99.44447884,25,36,103,20.53391978,4,0,1,0
206,Exercise 6,489.7061081,74.53645217,24,23,110,21.69213114,1,1,0,0
207,Exercise 10,308.560274,72.94929275,19,33,105,22.79244181,8,0,0,0
208,Exercise 5,303.4398397,92.63114444,44,44,146,21.4929567,6,1,1,0
209,Exercise 9,242.4507635,67.15173698,48,42,104,22.05978155,5,0,0,0
210,Exercise 8,224.3531034,73.94830679,60,40,159,26.40999771,7,1,0,1
211,Exercise 1,387.9751554,91.02035846,52,34,142,22.55585982,2,0,0,0
212,Exercise 5,240.2690206,58.12264191,60,54,136,34.26105261,2,1,0,1
213,Exercise 5,324.107922,91.80876937,45,34,113,21.72348561,4,0,1,0
214,Exercise 4,126.1531014,76.758792,30,50,129,29.00556556,10,0,0,0
215,Exercise 5,145.840523,76.49065871,35,37,171,29.8985682,2,0,0,0
216,Exercise 1,118.6470115,51.61450441,25,38,110,33.82190219,5,1,1,0
217,Exercise 8,279.5525288,87.63950887,59,35,126,34.00291981,9,0,0,1
218,Exercise 3,114.0978791,47.25295118,44,57,180,22.89634691,7,1,1,0
219,Exercise 3,323.1393326,51.0539001,38,29,120,29.2261896,10,1,1,0
220,Exercise 5,299.4536977,67.68934097,41,23,115,31.7652518,10,1,0,0
221,Exercise 3,433.6218435,88.015325,50,53,119,28.98058516,6,0,0,1
222,Exercise 3,131.4758952,77.49636925,25,49,173,24.50330969,6,0,0,1
223,Exercise 3,238.3390773,91.84575014,25,26,102,24.95522302,6,1,0,1
224,Exercise 9,445.9066828,93.55516577,53,54,151,30.97390197,3,0,0,1
225,Exercise 2,250.6072627,59.79740766,28,34,146,24.64626143,1,0,0,0
226,Exercise 4,319.6223011,69.53764157,31,45,155,30.90135908,10,0,0,1
227,Exercise 5,191.1171928,90.47551048,48,41,117,19.25112935,9,0,0,1
228,Exercise 5,363.3425898,90.25399127,55,52,135,31.22855908,9,1,0,0
229,Exercise 3,222.4347461,52.53937694,39,39,100,24.48579821,5,0,0,1
230,Exercise 7,213.921272,93.67878248,42,51,143,18.54234137,6,1,0,0
231,Exercise 7,194.7017851,87.88988989,48,59,179,33.29581566,5,0,0,0
232,Exercise 6,254.4716117,55.78997996,34,60,151,34.98571687,2,0,0,0
233,Exercise 7,331.535759,63.66141161,20,27,175,26.43131346,10,1,0,0
234,Exercise 4,255.1511815,55.34159526,48,51,139,21.32289277,9,1,1,0
235,Exercise 8,168.4553504,95.85150615,32,48,132,26.33741437,6,1,1,0
236,Exercise 1,388.0302215,97.51100213,41,44,163,20.95288539,3,0,0,1
237,Exercise 7,327.7262024,83.59971205,28,36,100,22.69986994,7,0,0,0
238,Exercise 10,415.060294,60.26897653,54,25,130,23.98040468,6,0,0,0
239,Exercise 10,385.1856873,100.6622709,59,34,161,29.72536235,5,0,0,1
240,Exercise 2,181.9180309,81.75602055,60,45,125,21.77943765,7,0,0,0
241,Exercise 6,308.1344965,86.62404938,33,28,108,25.62145083,3,1,0,1
242,Exercise 6,417.0429093,79.26890552,39,53,143,34.1228394,3,1,0,0
243,Exercise 4,308.5380208,62.93323959,57,34,107,26.50494475,7,1,0,1
244,Exercise 3,403.6280814,80.72214674,21,29,180,25.490055,4,0,0,0
245,Exercise 8,454.6685624,88.43255009,40,44,167,32.2979395,1,1,0,0
246,Exercise 4,286.4576245,55.12313268,41,25,144,22.99997405,4,0,0,1
247,Exercise 6,390.9885057,53.91204673,44,32,108,25.09384749,4,0,1,0
248,Exercise 10,310.270577,95.23066175,19,58,148,33.92163942,2,0,0,1
249,Exercise 1,362.8638865,93.79851035,48,45,164,29.80356061,9,1,1,0
250,Exercise 2,322.4907182,73.94803631,18,34,116,25.23060779,1,1,0,1
251,Exercise 2,441.4491581,98.47403214,28,54,159,34.63480035,2,0,0,0
252,Exercise 3,159.1317833,63.89765467,37,44,122,23.17639498,10,0,0,0
253,Exercise 5,493.7813433,70.08391828,38,54,104,32.17548469,6,0,0,0
254,Exercise 7,216.1592428,70.50374018,22,49,120,30.93797691,4,1,0,0
255,Exercise 5,326.532619,70.23640316,58,28,160,21.5512308,10,0,1,0
256,Exercise 7,455.2579295,65.25413296,24,44,137,22.96582098,7,1,1,0
257,Exercise 2,460.995065,79.01064398,60,49,178,24.99600087,8,1,0,1
258,Exercise 8,459.8698899,80.535058,59,25,103,25.16837564,10,0,0,0
259,Exercise 7,440.2043132,58.08897521,40,22,180,31.57757632,8,1,1,0
260,Exercise 7,278.1967269,70.7713874,57,27,132,20.87132541,10,1,0,0
261,Exercise 6,161.6621582,52.05841484,29,53,120,33.58432215,3,0,1,0
262,Exercise 4,496.1194256,77.41519775,35,34,152,31.73631604,10,0,0,1
263,Exercise 2,312.1965692,55.41210375,21,26,117,21.56606221,1,0,0,1
264,Exercise 6,289.5039568,55.32812567,19,59,102,20.74087439,6,0,0,1
265,Exercise 8,451.3558735,58.25794246,31,39,158,34.13992,2,1,1,0
266,Exercise 7,205.4822903,51.10745895,35,30,151,33.41957239,8,1,0,1
267,Exercise 4,228.9977038,72.49935442,48,58,168,32.95397849,7,0,0,0
268,Exercise 5,412.8717973,98.99602467,51,36,166,33.08167402,5,1,1,0
269,Exercise 1,125.3188633,62.93773009,60,60,140,25.50366824,9,1,0,0
270,Exercise 9,332.2157903,82.90077002,18,56,107,31.49407517,1,0,0,1
271,Exercise 1,170.3770551,70.98652946,54,24,112,18.58827479,8,0,1,0
272,Exercise 1,480.8794249,61.05276,35,22,176,33.03941552,9,1,1,0
273,Exercise 7,458.836108,60.27206231,19,55,141,34.4811694,6,0,1,0
274,Exercise 2,152.0253587,55.00439332,40,20,138,23.40905355,4,1,1,0
275,Exercise 1,202.6962407,71.43576989,57,38,170,23.16198917,2,1,1,0
276,Exercise 6,340.7412607,70.57669883,45,25,159,34.53310207,8,1,1,0
277,Exercise 6,181.6505208,53.64369787,58,41,113,34.80267975,5,1,0,0
278,Exercise 4,296.237181,90.29951198,55,56,159,33.97005736,2,0,0,0
279,Exercise 1,414.0052653,87.17224165,43,27,126,30.8375631,10,1,0,1
280,Exercise 6,365.7079677,82.31624701,25,60,169,18.59892834,4,0,0,0
281,Exercise 4,348.0929836,49.79118232,31,28,177,21.83482571,8,0,0,0
282,Exercise 6,456.5835377,90.26654198,22,59,138,22.48202902,10,1,0,0
283,Exercise 9,215.5900112,74.50439035,30,22,108,28.55221574,1,1,0,0
284,Exercise 4,249.0236668,57.63360856,59,40,154,19.34307393,4,0,1,0
285,Exercise 9,278.6110562,92.97289312,49,40,123,22.49851017,1,0,0,1
286,Exercise 9,265.2251986,79.548377,21,42,176,31.17042026,3,1,0,1
287,Exercise 2,455.903897,89.10269181,23,20,163,27.98404912,8,1,0,1
288,Exercise 1,422.8064437,49.46376539,52,42,103,26.71492286,3,1,0,1
289,Exercise 4,446.3728861,94.53201313,52,41,123,24.96293481,2,0,0,1
290,Exercise 10,428.4618685,50.81730665,41,31,139,24.54790438,10,1,0,1
291,Exercise 8,166.7512424,95.00903929,30,49,179,23.51175625,5,1,0,1
292,Exercise 1,160.8038414,83.17303177,26,57,143,28.82431738,1,0,0,1
293,Exercise 3,310.7268313,68.49501401,50,38,173,29.107554,4,0,0,0
294,Exercise 10,184.5605075,76.17260938,44,56,157,30.38884623,6,1,0,1
295,Exercise 9,471.515755,63.89690295,19,20,112,34.31492756,10,0,1,0
296,Exercise 8,490.9832922,84.85824043,22,59,162,29.08226346,7,1,0,0
297,Exercise 7,216.548184,94.58201652,21,35,111,23.18880761,8,1,1,0
298,Exercise 2,330.849155,61.21898835,30,37,133,29.73208603,4,0,0,0
299,Exercise 3,339.3830995,95.33283953,42,22,137,28.21130926,1,0,0,0
300,Exercise 9,151.461179,62.78126409,36,24,149,25.24085672,10,0,0,0
301,Exercise 9,306.5809613,75.71544404,30,56,122,19.54459704,4,1,1,0
302,Exercise 8,254.7415239,64.59699077,56,46,170,19.97470835,6,0,0,1
303,Exercise 5,285.6125742,68.78811679,37,50,135,25.45210618,6,1,0,0
304,Exercise 4,413.4908856,56.05930883,31,53,119,34.63148137,6,0,1,0
305,Exercise 10,483.5791915,71.24835918,41,55,126,24.50260017,3,0,0,0
306,Exercise 4,405.6742994,89.91824843,53,35,161,19.18158969,2,0,0,1
307,Exercise 4,180.1020082,88.50337847,43,34,108,28.29871048,2,0,1,0
308,Exercise 5,491.1956175,73.55545085,19,42,179,27.56666752,5,0,0,0
309,Exercise 10,231.7764398,90.04297324,35,46,175,30.00699053,5,1,1,0
310,Exercise 4,120.2328577,49.77671281,23,52,172,31.62463111,3,1,1,0
311,Exercise 4,178.690855,57.77895327,47,36,157,29.66816308,6,1,1,0
312,Exercise 3,421.9922433,85.75016112,25,22,170,29.36377752,9,1,0,1
313,Exercise 5,231.7819505,48.34034898,53,50,107,33.7985402,6,0,0,0
314,Exercise 7,481.3714627,51.15406525,45,21,167,26.66030359,6,0,0,0
315,Exercise 2,248.6070358,78.98980121,60,57,117,20.03105055,7,0,0,1
316,Exercise 5,148.6082488,67.42142456,48,55,110,25.8424954,6,0,0,0
317,Exercise 1,401.2463231,63.44800037,36,42,116,21.28403508,7,0,0,1
318,Exercise 5,245.3714936,78.52993627,26,40,125,25.53774139,9,0,0,0
319,Exercise 8,142.8070474,79.13887358,58,53,180,29.14203375,4,1,0,0
320,Exercise 1,224.3930595,59.05334451,34,25,174,21.31593985,9,0,0,0
321,Exercise 8,466.0550527,99.81726666,20,20,101,34.57665453,10,0,1,0
322,Exercise 8,181.6099815,58.30241662,49,29,115,20.65715982,8,0,0,0
323,Exercise 3,305.3195624,75.19700458,46,44,159,19.59179372,8,1,0,1
324,Exercise 1,423.0853574,62.6611276,58,22,180,25.92492438,9,0,0,1
325,Exercise 6,399.9880015,81.60575188,19,30,115,19.12327793,5,1,0,0
326,Exercise 9,400.428286,70.79323875,50,32,170,20.66918561,6,1,1,0
327,Exercise 6,458.8880881,55.5680401,42,35,148,20.06381379,8,0,0,1
328,Exercise 7,329.3561362,86.70820752,43,59,116,18.8895982,7,1,1,0
329,Exercise 10,261.2450959,53.82303744,19,21,178,23.72146954,10,1,0,0
330,Exercise 10,158.1545606,62.5721434,44,45,156,28.35548439,7,1,0,0
331,Exercise 1,123.0468662,95.18618148,22,24,180,21.88936074,8,1,1,0
332,Exercise 2,494.2516457,84.35284143,26,38,103,33.89920168,4,1,0,1
333,Exercise 1,184.3670115,51.57456244,46,34,150,32.54984331,5,1,0,0
334,Exercise 9,411.6674071,49.921153,26,41,165,27.68472164,7,1,0,1
335,Exercise 3,355.2367304,52.04597545,59,28,143,19.46962907,8,1,1,0
336,Exercise 8,403.5083872,81.03242889,21,43,107,21.95965802,4,1,0,0
337,Exercise 9,300.5238837,72.34243772,58,43,156,18.56066334,10,0,1,0
